name,imageUrl,productUrl,sku,priceRegular,priceSale
4.5 out of 5 stars. 174 reviews,undefined,https://www.princessauto.com/en/pro-series-retractable-ratchet-tie-down-strap-sets/product/PA1000003026,8241945,29.99,19.99
4.5 out of 5 stars. 43 reviews,undefined,https://www.princessauto.com/en/tan-pile-lined-mitts/product/PA1000000271,8669988,11.99,7.99
5.0 out of 5 stars. 2 reviews,undefined,https://www.princessauto.com/en/4-pk-5-1-2-in-storage-hooks/product/PA0009417783,9417783,5.99,3.99
4.2 out of 5 stars. 5 reviews,undefined,https://www.princessauto.com/en/4-1-2-in-x-12-mm-abrasive-cut-off-wheel/product/PA0009238502,9238502,2.59,1.29
4.8 out of 5 stars. 83 reviews,undefined,https://www.princessauto.com/en/600-lb-moving-dolly/product/PA0008851966,8851966,29.99,15.99
